NumberFrom;NumberTo;Owner;MNC;RN;OperatorDSC;RowCount
998330000000;998339999999;"Humans";10;D10;"Виртуальный оператор мобильной связи Humans";191
998770000000;998779999999;"Uzmobile";08;D08;"Оператор мобильной связи Uzmobile";191
998880000000;998889999999;"Mobiuz";07;D07;"Оператор мобильной связи Mobiuz";191
998900000000;998909999999;"Beeline";04;D04;"Оператор мобильной связи Beeline";191
998910000000;998919999999;"Beeline";04;D04;"Оператор мобильной связи Beeline";191
998930000000;998939999999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998940000000;998949999999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998970000000;998979999999;"Mobiuz";07;D07;"Оператор мобильной связи Mobiuz";191
998990000000;998999999999;"Uzmobile";08;D08;"Оператор мобильной связи Uzmobile";191
998500710000;998500719999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505540000;998505549999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500540000;998500549999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507030000;998507039999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500780000;998500789999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505020000;998505029999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500740000;998500749999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507750000;998507759999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500700000;998500709999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505040000;998505049999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500730000;998500739999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505520000;998505529999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507010000;998507019999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500760000;998500769999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505030000;998505039999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500520000;998500529999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500790000;998500799999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507060000;998507069999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500510000;998500519999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507040000;998507049999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500550000;998500559999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500750000;998500759999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500770000;998500779999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507020000;998507029999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505050000;998505059999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507000000;998507009999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507070000;998507079999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500530000;998500539999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507050000;998507059999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500720000;998500729999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505530000;998505539999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507760000;998507769999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505500000;998505509999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505000000;998505009999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505010000;998505019999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505510000;998505519999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505550000;998505559999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507770000;998507779999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500500000;998500509999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500000000;998500109999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998781200000;998781209999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998781400000;998781419999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998782220000;998782220999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998782308000;998782308999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998782960000;998782960999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998785780000;998785780999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998785980000;998785980999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998786112000;998786112999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998786710000;998786710999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998787175000;998787175999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998787806000;998787806999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998789120000;998789120999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998787000000;998787009999;"Dildora_F";;;"Оператор фиксированной связи (не участвует в процессе переноса, Turon Telecom)";191
998781290000;998781299999;"East_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998781470000;998781489999;"East_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998781500000;998781509999;"East_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998782100000;998782101999;"East_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998782210000;998782211999;"East_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998782230000;998782231999;"East_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998782297000;998782298999;"East_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998782980000;998782981999;"East_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998787700000;998787711999;"East_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998787716000;998787717999;"East_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998787770000;998787779999;"East_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998788880000;998788889999;"East_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998780000000;998780009999;"Nano_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998980000000;998989999999;"PerfectumMobile";;;"Оператор мобильной связи стандарта CDMA (не участвует в процессе переноса)";191
998781220000;998781229999;"Sarkor_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998783330000;998783339999;"Sarkor_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998785550000;998785559999;"Sarkor_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998781130000;998781134999;"Sharq_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998781136000;998781139999;"Skyline_Group";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998220000000;998229999999;"Uzbektelecom";;;"Оператор телефонной сети общего пользования (не участвует в процессе переноса)";191
998550000000;998559999999;"Uzbektelecom";;;"Оператор телефонной сети общего пользования (не участвует в процессе переноса)";191
998610000000;998619999999;"Uzbektelecom";;;"Оператор телефонной сети общего пользования (не участвует в процессе переноса)";191
998620000000;998629999999;"Uzbektelecom";;;"Оператор телефонной сети общего пользования (не участвует в процессе переноса)";191
998650000000;998659999999;"Uzbektelecom";;;"Оператор телефонной сети общего пользования (не участвует в процессе переноса)";191
998660000000;998669999999;"Uzbektelecom";;;"Оператор телефонной сети общего пользования (не участвует в процессе переноса)";191
998670000000;998679999999;"Uzbektelecom";;;"Оператор телефонной сети общего пользования (не участвует в процессе переноса)";191
998690000000;998699999999;"Uzbektelecom";;;"Оператор телефонной сети общего пользования (не участвует в процессе переноса)";191
998710000000;998719999999;"Uzbektelecom";;;"Оператор телефонной сети общего пользования (не участвует в процессе переноса)";191
998720000000;998729999999;"Uzbektelecom";;;"Оператор телефонной сети общего пользования (не участвует в процессе переноса)";191
998730000000;998739999999;"Uzbektelecom";;;"Оператор телефонной сети общего пользования (не участвует в процессе переноса)";191
998740000000;998749999999;"Uzbektelecom";;;"Оператор телефонной сети общего пользования (не участвует в процессе переноса)";191
998750000000;998759999999;"Uzbektelecom";;;"Оператор телефонной сети общего пользования (не участвует в процессе переноса)";191
998760000000;998769999999;"Uzbektelecom";;;"Оператор телефонной сети общего пользования (не участвует в процессе переноса)";191
998790000000;998799999999;"Uzbektelecom";;;"Оператор телефонной сети общего пользования (не участвует в процессе переноса)";191
998787808000;998787811999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998787800000;998787803999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998507500000;998507549999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998502200000;998502229999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998508800000;998508849999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505800000;998505829999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507200000;998507299999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505100000;998505119999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505150000;998505159999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505850000;998505859999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505870000;998505899999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998503000000;998503039999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998503330000;998503339999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507080000;998507099999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998509000000;998509009999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505700000;998505799999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505060000;998505099999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998509970000;998509999999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500110000;998500119999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998501100000;998501119999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507100000;998507199999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998504000000;998504009999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998504440000;998504449999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998508850000;998508899999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507550000;998507599999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998501000000;998501059999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998501070000;998501099999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507700000;998507749999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507780000;998507799999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998508000000;998508009999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998870000000;998879999999;"Mobiuz";07;D07;"Оператор мобильной связи Mobiuz";191
998956150000;998956159999;"Uzmobile_CDMA";;;"Оператор мобильной связи Uzmobile (стандарта CDMA, не участвует в процессе переноса)";191
998500990000;998500999999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505450000;998505459999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998504500000;998504509999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500250000;998500259999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998508500000;998508509999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998508550000;998508559999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998501200000;998501209999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505250000;998505259999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500150000;998500159999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500170000;998500179999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998508700000;998508709999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998508770000;998508779999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500400000;998500409999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998504400000;998504409999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500900000;998500909999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998509500000;998509509999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998501500000;998501509999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998501550000;998501559999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998501700000;998501709999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998501770000;998501779999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998956160000;998959999999;"Uzmobile";08;D08;"Оператор мобильной связи Uzmobile";191
998200000000;998200399999;"Beeline";04;D04;"Оператор мобильной связи Beeline";191
998509700000;998509709999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998509770000;998509779999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500800000;998500809999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998502500000;998502509999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998502520000;998502529999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998502700000;998502709999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998502770000;998502779999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998503300000;998503309999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998502000000;998502009999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998502300000;998502309999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500300000;998500309999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505200000;998505209999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500200000;998500209999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500220000;998500229999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998503700000;998503709999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998503770000;998503779999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500120000;998500129999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998504040000;998504049999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998509800000;998509809999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507300000;998507309999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507370000;998507379999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507400000;998507409999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507470000;998507479999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507600000;998507609999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507670000;998507679999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507800000;998507809999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507870000;998507879999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507900000;998507909999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507970000;998507979999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998509900000;998509909999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998950000000;998956149999;"Uzmobile";08;D08;"Оператор мобильной связи Uzmobile";191
998700000000;998709999999;"Uzmobile";08;D08;"Оператор мобильной связи Uzmobile";191
998800000000;998800019999;"Perfectum_5G";;;"Оператор мобильной связи Perfectum Mobile стандарта 5G (на данный момент не участвует в переносе номеров и пока заведён как стационарный оператор)";191
998801110000;998801119999;"Perfectum_5G";;;"Оператор мобильной связи Perfectum Mobile стандарта 5G (на данный момент не участвует в переносе номеров и пока заведён как стационарный оператор)";191
998802220000;998802229999;"Perfectum_5G";;;"Оператор мобильной связи Perfectum Mobile стандарта 5G (на данный момент не участвует в переносе номеров и пока заведён как стационарный оператор)";191
998803330000;998803339999;"Perfectum_5G";;;"Оператор мобильной связи Perfectum Mobile стандарта 5G (на данный момент не участвует в переносе номеров и пока заведён как стационарный оператор)";191
998804440000;998804449999;"Perfectum_5G";;;"Оператор мобильной связи Perfectum Mobile стандарта 5G (на данный момент не участвует в переносе номеров и пока заведён как стационарный оператор)";191
998805550000;998805559999;"Perfectum_5G";;;"Оператор мобильной связи Perfectum Mobile стандарта 5G (на данный момент не участвует в переносе номеров и пока заведён как стационарный оператор)";191
998807770000;998807779999;"Perfectum_5G";;;"Оператор мобильной связи Perfectum Mobile стандарта 5G (на данный момент не участвует в переносе номеров и пока заведён как стационарный оператор)";191
998808880000;998808889999;"Perfectum_5G";;;"Оператор мобильной связи Perfectum Mobile стандарта 5G (на данный момент не участвует в переносе номеров и пока заведён как стационарный оператор)";191
998809990000;998809999999;"Perfectum_5G";;;"Оператор мобильной связи Perfectum Mobile стандарта 5G (на данный момент не участвует в переносе номеров и пока заведён как стационарный оператор)";191
